,moive name,English name,star,year,length,vote num,director,scriptwriter,type,actor,Domestic,International,Worldwide,imdb str
0,肖申克的救赎 The Shawshank Redemption,The Shawshank Redemption,9.7,1994,142分钟,2020888,弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,剧情/犯罪,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯,"$28,699,976","$86,681","$28,786,657",tt0111161
1,霸王别姬,Farewell My Concubine,9.6,1993,171分钟,1497249,陈凯歌,芦苇/李碧华,剧情/爱情/同性,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐/徐杰,"$5,216,888","$539,887","$5,756,775",tt0106332
2,阿甘正传 Forrest Gump,Forrest Gump,9.5,1994,142分钟,1529849,罗伯特·泽米吉斯,艾瑞克·罗斯/温斯顿·格鲁姆,剧情/爱情,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/海利·乔·奥斯蒙/迈克尔·康纳·亨弗里斯/哈罗德·G·赫瑟姆/山姆·安德森/伊俄涅·M·特雷奇/彼得·道博森/希芳·法隆/伊丽莎白·汉克斯/汉娜·豪尔/克里斯托弗·琼斯/罗布·兰德里/杰森·麦克奎尔/桑尼·施罗耶/艾德·戴维斯/丹尼尔C.斯瑞派克/大卫·布里斯宾/德博拉·麦克蒂尔/艾尔·哈林顿/阿非莫·奥米拉/约翰·沃德斯塔德/迈克尔·伯吉斯/埃里克·安德伍德/拜伦·明斯/斯蒂芬·布吉格沃特/约翰·威廉·高尔特/希拉里·沙普兰/伊莎贝尔·罗斯/理查德·达历山德罗/迪克·史迪威/迈克尔-杰斯/杰弗里·布莱克/瓦妮莎·罗斯/迪克·卡维特/马拉·苏查雷特扎/乔·阿拉斯奇/W·本森·泰瑞,"$330,455,270","$347,767,014","$678,222,284",tt0109830
3,这个杀手不太冷 Léon,Léon: The Professional,9.4,1994,110分钟(剧场版),1722395,吕克·贝松,吕克·贝松,剧情/动作/犯罪,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔/迈克尔·巴达鲁科/艾伦·格里尼/伊丽莎白·瑞根/卡尔·马图斯维奇/弗兰克·赛格/麦温/乔治·马丁/罗伯特·拉萨多/亚当·布斯奇/马里奥·托迪斯科/萨米·纳塞利,"$19,501,238",获取失败,"$19,501,238",tt0110413
4,美丽人生 La vita è bella,Life Is Beautiful,9.5,1997,116分钟,962426,罗伯托·贝尼尼,温琴佐·切拉米/罗伯托·贝尼尼,剧情/喜剧/爱情/战争,罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/赛尔乔·比尼·布斯特里克/玛丽萨·帕雷德斯/霍斯特·布赫霍尔茨/利迪娅·阿方西/朱利亚娜·洛约迪切/亚美利哥·丰塔尼/彼得·德·席尔瓦/弗朗西斯·古佐/拉法埃拉·莱博罗尼/克劳迪奥·阿方西/吉尔·巴罗尼/马西莫·比安奇/恩尼奥·孔萨尔维/吉安卡尔洛·科森蒂诺/阿伦·克雷格/汉尼斯·赫尔曼/弗兰科·梅斯科利尼/安东尼奥·普雷斯特/吉娜·诺维勒/理查德·塞梅尔/安德烈提多娜/迪尔克·范登贝格/奥梅罗·安东努蒂,"$57,563,264","$172,535,489","$230,098,753",tt0118799
5,泰坦尼克号 Titanic,Titanic,9.4,1997,194分钟,1480384,詹姆斯·卡梅隆,詹姆斯·卡梅隆,剧情/爱情/灾难,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍/格劳瑞亚·斯图尔特/比尔·帕克斯顿/伯纳德·希尔/大卫·沃纳/维克多·加博/乔纳森·海德/苏茜·爱米斯/刘易斯·阿伯内西/尼古拉斯·卡斯柯恩/阿那托利·萨加洛维奇/丹尼·努齐/杰森·贝瑞/伊万·斯图尔特/艾恩·格拉法德/乔纳森·菲利普斯/马克·林赛·查普曼/理查德·格拉翰/保罗·布赖特威尔/艾瑞克·布里登/夏洛特·查顿/博纳德·福克斯/迈克尔·英塞恩/法妮·布雷特/马丁·贾维斯/罗莎琳·艾尔斯/罗切尔·罗斯/乔纳森·伊万斯-琼斯/西蒙·克雷恩/爱德华德·弗莱彻/斯科特·安德森/马丁·伊斯特/克雷格·凯利/格雷戈里·库克/利亚姆·图伊/詹姆斯·兰开斯特/艾尔莎·瑞雯/卢·帕尔特/泰瑞·佛瑞斯塔/凯文·德·拉·诺伊,"$659,363,944","$1,535,075,598","$2,194,439,542",tt0120338
6,千与千寻 千と千尋の神隠し,Spirited Away,9.4,2001,125分钟,1583689,宫崎骏,宫崎骏,剧情/动画/奇幻,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男/玉井夕海/神木隆之介/内藤刚志/泽口靖子/我修院达也/大泉洋/小林郁夫/上条恒彦/小野武彦,"$13,750,644","$333,992,166","$347,742,810",tt0245429
7,辛德勒的名单 Schindler's List,Schindler's List,9.5,1993,195分钟,779906,史蒂文·斯皮尔伯格,托马斯·肯尼利/斯蒂文·泽里安,剧情/历史/战争,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/碧翠斯·马科拉/安德烈·瑟韦林/弗里德里希·冯·图恩/克齐斯茨托夫·拉夫特/诺伯特·魏塞尔,"$96,898,818","$225,388,976","$322,287,794",tt0108052
8,盗梦空间 Inception,Inception,9.3,2010,148分钟,1463294,克里斯托弗·诺兰,克里斯托弗·诺兰,剧情/科幻/悬疑/冒险,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾伦·佩吉/汤姆·哈迪/渡边谦/迪利普·劳/基里安·墨菲/汤姆·贝伦杰/玛丽昂·歌迪亚/皮特·波斯尔思韦特/迈克尔·凯恩/卢卡斯·哈斯/李太力/克莱尔·吉尔蕾/马格努斯·诺兰/泰勒·吉蕾/乔纳森·吉尔/水源士郎/冈本玉二/厄尔·卡梅伦/瑞恩·海沃德/米兰达·诺兰/拉什·费加/蒂姆·科勒赫/妲露拉·莱莉,"$292,576,195","$537,318,949","$829,895,144",tt1375666
9,忠犬八公的故事 Hachi: A Dog's Tale,Hachi: A Dog's Tale,9.4,2009,93分钟,1016025,拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,剧情,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣,获取失败,"$46,749,646","$46,749,646",tt1028532
10,海上钢琴师 La leggenda del pianista sull'oceano,The Legend of 1900,9.3,1998,165分钟,1220124,朱塞佩·托纳多雷,亚利桑德罗·巴里克/朱塞佩·托纳多雷,剧情/音乐,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/皮特·沃恩/尼尔·奥布赖恩/阿尔贝托·巴斯克斯/加布里埃莱·拉维亚/科里·巴克/西德尼·科尔/Luigi De Luca/尼古拉·迪·平托/费米·依鲁福祖/伊斯顿·盖奇/凯文·麦克纳利/布莱恩·普林格/沙拉·鲁宾/希思科特·威廉姆斯/阿妮妲·扎格利亚/安吉洛·迪洛雷塔,"$167,435","$20,803,216","$20,970,651",tt0120731
11,楚门的世界 The Truman Show,The Truman Show,9.3,1998,103分钟,1087696,彼得·威尔,安德鲁·尼科尔,剧情/科幻,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,"$125,618,201","$138,500,000","$264,118,201",tt0120382
12,三傻大闹宝莱坞 3 Idiots,3 Idiots,9.2,2009,171分钟(印度),1355861,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉/拉吉库马尔·希拉尼/阿希贾特·乔希,剧情/喜剧/爱情/歌舞,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安,"$6,532,874","$53,729,962","$60,262,836",tt1187043
13,机器人总动员 WALL·E,WALL·E,9.3,2008,98分钟,964432,安德鲁·斯坦顿,安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特,科幻/动画/冒险,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,"$223,808,164","$297,503,696","$521,311,860",tt0910970
14,放牛班的春天 Les choristes,The Chorus,9.3,2004,97分钟,943632,克里斯托夫·巴拉蒂,乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴拉蒂/菲利普·洛佩斯-屈瓦尔,剧情/音乐,热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/让-巴蒂斯特·莫尼耶/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉,"$3,635,164","$84,750,780","$88,385,944",tt0372824
15,星际穿越 Interstellar,Interstellar,9.3,2014,169分钟,1091339,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰,剧情/科幻/冒险,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/麦肯吉·弗依/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉亚西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,"$188,020,017","$489,451,322","$677,471,339",tt0816692
16,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,A Chinese Odyssey: Part Two - Cinderella,9.2,1995,95分钟,1070097,刘镇伟,刘镇伟,喜剧/爱情/奇幻/古装,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁,获取失败,"$25,967,935","$25,967,935",tt0114996
17,熔炉 도가니,Silenced,9.3,2011,125分钟,659000,黄东赫,黄东赫/孔枝泳,剧情,孔侑/郑有美/金贤秀/郑仁絮/白承焕/张光/金民尚/林贤成/金周灵/严孝燮/全国焕/崔镇浩/金志映/严智星/许在浩/张素妍,获取失败,"$30,996,130","$30,996,130",tt2070649
18,疯狂动物城 Zootopia,Zootopia,9.2,2016,109分钟(中国大陆),1276369,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,喜剧/动画/冒险,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,"$341,268,248","$682,515,947","$1,023,784,195",tt2948356
19,无间道 無間道,Infernal Affairs,9.2,2002,101分钟,871723,刘伟强/麦兆辉,麦兆辉/庄文强,剧情/悬疑/犯罪,刘德华/梁朝伟/黄秋生/曾志伟/郑秀文/陈慧琳/陈冠希/余文乐/杜汶泽/林家栋/萧亚轩,"$169,659","$8,667,299","$8,836,958",tt0338564
20,龙猫 となりのトトロ,My Neighbor Totoro,9.2,1988,86分钟,907118,宫崎骏,宫崎骏,动画/奇幻/冒险,日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江,"$2,250,213","$28,226,495","$30,476,708",tt0096283
21,教父 The Godfather,The Godfather,9.3,1972,175 分钟,662821,弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,剧情/犯罪,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德/兰尼·蒙大拿,"$134,966,411","$111,154,563","$246,120,974",tt0068646
22,当幸福来敲门 The Pursuit of Happyness,The Pursuit of Happyness,9.1,2006,117分钟,1083172,加布里埃莱·穆奇诺,斯蒂夫·康拉德,剧情/家庭/传记,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威 /詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯,"$163,566,459","$143,561,166","$307,127,625",tt0454921
23,怦然心动 Flipped,Flipped,9.1,2010,90分钟,1261212,罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,剧情/喜剧/爱情,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/Scott Joel Gizicki/Rod Myers/Kara Pacitto/Katelyn Pacitto,"$1,755,212","$2,470,709","$4,225,921",tt0817177
24,触不可及 Intouchables,The Intouchables,9.2,2011,112分钟,708319,奥利维埃·纳卡什/埃里克·托莱达诺,奥利维埃·纳卡什/埃里克·托莱达诺,剧情/喜剧,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/托马·索利韦尔,"$10,198,820","$416,389,690","$426,588,510",tt1675434
0,蝙蝠侠：黑暗骑士 The Dark Knight,The Dark Knight,9.2,2008,152分钟,729350,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/大卫·S·高耶,剧情/动作/科幻/惊悚/犯罪,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲克纳/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希,"$535,234,033","$469,700,000","$1,004,934,033",tt0468569
1,控方证人 Witness for the Prosecution,Witness for the Prosecution,9.6,1957,116分钟,281921,比利·怀德,阿加莎·克里斯蒂/比利·怀德/哈里·库尼兹,剧情/悬疑/犯罪,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登/尤娜·奥康纳/茹塔·李,获取失败,"$7,693","$7,693",tt0051201
2,活着,To Live,9.2,1994,132分钟,566764,张艺谋,芦苇/余华,剧情/家庭/历史,葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺,"$2,332,728",获取失败,"$2,332,728",tt0110081
3,乱世佳人 Gone with the Wind,Gone with the Wind,9.3,1939,238分钟,485585,维克多·弗莱明/乔治·库克/山姆·伍德,玛格丽特·米歇尔/西德尼·霍华德/奥利弗·H·P·加勒特/本·赫克特/乔·斯沃林/约翰·范·德鲁登,剧情/爱情/历史/战争,费雯·丽/克拉克·盖博/奥利维娅·德哈维兰/托马斯·米切尔/芭芭拉·欧内尔/伊夫林·凯耶斯/安·卢瑟福德/乔治·里弗斯/弗莱德·克莱恩/海蒂·麦克丹尼尔/奥斯卡·波尔克/巴特弗莱·麦昆/维克托·乔里/埃弗雷特·布朗/霍华德·C·希克曼/艾丽西亚·瑞特/莱斯利·霍华德/兰德·布鲁克斯/卡洛尔·奈/劳拉·霍普·克鲁斯/埃迪·安德森/哈里·达文波特/利昂娜·罗伯特/简·达威尔/欧娜·满森/保罗·赫斯特/伊莎贝尔·朱尔/卡米·金·肯伦/艾瑞克·林登/J·M·克里根/沃德·邦德/莉莲·肯布尔-库珀,"$200,852,579","$201,500,000","$402,352,579",tt0031381
4,寻梦环游记 Coco,Coco,9.1,2017,105分钟,1063362,李·昂克里奇/阿德里安·莫利纳,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,喜剧/动画/音乐/奇幻,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,"$209,726,015","$597,356,181","$807,082,196",tt2380307
5,末代皇帝 The Last Emperor,The Last Emperor,9.2,1987,163分钟,510969,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇/马克·派普罗,剧情/传记/历史,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓恩/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/区亨利/陈述/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民,"$43,984,230","$9,278","$43,993,508",tt0093389
6,摔跤吧！爸爸 Dangal,Dangal,9.0,2016,161分钟(印度),1108824,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,剧情/家庭/传记/运动,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,"$12,391,761","$291,331,875","$303,723,636",tt5074352
7,指环王3：王者无敌 The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,9.2,2003,201分钟,537215,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J·R·R·托尔金,剧情/动作/奇幻/冒险,伊利亚·伍德/西恩·奥斯汀/维果·莫腾森/奥兰多·布鲁姆/伊恩·麦克莱恩/肖恩·宾/多米尼克·莫纳汉/丽芙·泰勒/约翰·贝西/凯特·布兰切特/比利·博伊德/萨德文·布罗菲/阿利斯泰尔·布朗宁/马尔顿·索克斯/伯纳德·希尔/伊安·霍姆/布鲁斯·霍普金斯/Ian Hughes/劳伦斯·马克奥雷/Noel Appleby/布雷特·麦肯齐/Alexandra Astin/Sarah McLeod/Maisy McLeod-Riera/约翰·诺贝尔/Paul Norell/米兰达·奥图/布鲁斯·菲利普斯/沙恩·朗吉/约翰·瑞斯-戴维斯/Todd Rippon/安迪·瑟金斯/Harry Sinclair/乔尔·托贝克/卡尔·厄本/史蒂芬·乌瑞/雨果·维文/大卫·文翰/阿兰·霍华德/萨拉·贝克/Robert Pollock/佩特·史密斯/杰德·布罗菲/菲利普·格里夫/布拉德·道里夫/克里斯托弗·李/布鲁斯·斯宾斯/Gino Acevedo/Jarl Benzon/Jørn Benzon/Robert Catto/Michael Elsworth/彼得·杰克逊/Sandro Kopp/安德鲁·莱斯尼/约瑟夫·米卡-亨特/亨利·莫腾森/克雷格·帕克/克里斯蒂安·瑞沃斯/迈克尔·斯曼内科 /霍华德·肖/约翰·斯蒂芬森/理查德·泰勒,"$377,845,905","$764,373,496","$1,142,219,401",tt0167260
8,何以为家 كفرناحوم,Capernaum,9.1,2018,126分钟,648260,娜丁·拉巴基,娜丁·拉巴基/吉哈德·霍加里/米歇尔·凯斯沃尼/乔治斯·哈巴兹/哈立德·穆扎纳,剧情,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,"$1,661,096","$62,752,082","$64,413,178",tt8267604
9,少年派的奇幻漂流 Life of Pi,Life of Pi,9.1,2012,127分钟,1021913,李安,扬·马特尔/大卫·麦基,剧情/奇幻/冒险,苏拉·沙玛/伊尔凡·可汗/拉菲·斯波/阿迪勒·侯赛因/塔布/阿尤什·坦东/加塔姆·贝鲁尔/阿彦·汗/穆德·阿巴斯·卡勒里/维比什·希瓦库玛/热拉尔·德帕迪约/詹姆斯·塞托/俊·奈托/安德里亚·迪·斯戴法诺/沙拉万提·塞纳特/王柏杰/柯一正/黄健玮,"$124,987,023","$484,029,542","$609,016,565",tt0454876
10,飞屋环游记 Up,Up,9.0,2009,96分钟,952775,彼特·道格特/鲍勃·彼德森,彼特·道格特/鲍勃·彼德森/汤姆·麦卡锡,剧情/喜剧/动画/冒险,爱德华·阿斯纳/克里斯托弗·普卢默/乔丹·长井/鲍勃·彼德森/德尔罗伊·林多/杰罗姆·兰福特/约翰·拉岑贝格/大卫·卡耶/艾丽·道克特/杰里米·利里/米凯·麦高万/丹尼·曼恩/唐纳德·富利洛夫/杰斯·哈梅尔/乔什·库雷/彼特·道格特,"$293,004,164","$442,094,918","$735,099,082",tt1049413
11,十二怒汉 12 Angry Men,12 Angry Men,9.4,1957,96 分钟,322968,西德尼·吕美特,雷金纳德·罗斯,剧情,亨利·方达/马丁·鲍尔萨姆/约翰·菲德勒/李·科布/E.G.马绍尔/杰克·克卢格曼 /爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯,获取失败,$576,$576,tt0050083
